SchoolDepartment,ProjectTitle,Finish Time,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Academic Affairs and Staff Devel,Human Services director opening,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance",2019-03-12,23:25:00
Social Impact Eng,EXEC PROC: Pete Ansara farewell,,dwetherheadb@livejournal.com,Technical Writing,Samira Alaoui,Writing and Editing,2019-03-13,19:08:00
Urban Planning & Public Infrastructure,Marcia Lucero retirement,,dwetherheadb@livejournal.com,Technical Writing,Samira Alaoui,Proofreading and Quality Assurance,14-03-2019,08:35:00 PM
Urban Planning and Public Infra,Vicki Eastburn retirement,,dwetherheadb@livejournal.com,Technical Writing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",14-03-2019,20:38:00
Urban Planning & Public Infrastructure,Love to Ride wrap-up,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Graphic Design",15-03-2019,21:42:00
Urban Planning and Public Infrastr,Annual county roadside herbicide applications start March 25,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,2019-03-18,06:16:00 PM
Urban Planning and Public Infra,Section of 22nd Avenue East to close March 21-25 while road is rebuilt,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,2019-03-19,04:43:00 PM
Facilities and Maintenance Engin,Facilities staff meeting closure,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Proofreading and Quality Assurance,2019-03-19,19:19:00
Urban Planning and Public Infra,Matching grants help preserve Pierce County landmarks,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,Public Relations,20-03-2019,23:08:00
Environmental and Civil Eng,Summer job opportunity with Parks and Recreation Department,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-03-21,18:42:00
Financial Enginering,Retirement of Liz Jackson,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-03-22,22:08:00
Academic Affairs and Staff Dev,LinkedIn Learning poster for directors,,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,2019-03-26,09:01:00 PM
Academic Affairs & Staff Development,LinkedIn Learning: #1 Coming soon: LinkedIn Learning online training at your convenience,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Website Programming, Writing and Editing",26-03-2019,09:31:00 PM
Partnerships and External Collabor,Cheney Stadium opening day blitz,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Proofreading and Quality Assurance,27-03-2019,19:51:00
Youth Outreach and Train,Pinwheels to raise awareness for Child Abuse Prevention Month,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Website Programming",27-03-2019,08:53:00 PM
Academic Affairs and Staff Dev,Employee recognition event slogan contest,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Website Programming, Graphic Design",2019-03-27,21:27:00
Academic Affairs and Staff Dev,"April Blood Drives: Spring brings ""new life""",,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,Website Programming,2019-04-05,10:38:00 PM
Academic Affairs & Staff Development,Bring your child to work day,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Website Programming, Proofreading and Quality Assurance",2019-04-09,18:42:00
Industrial and Systems Engin,Han Kueck retirement announcement,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-04-11,07:47:00 PM
Academic Affairs and Staff Dev,"Update: Bring your child to work, April 25",,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance, Website Programming",2019-04-12,22:04:00
Environmental & Civil Engineering,Spring Egg hunt,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, News and Media Communication",12-04-2019,23:24:00
Quality Assurance & Risk Management,Media Advisory: Special Election at a glance,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,2019-04-15,06:29:00 PM
Urban Planning & Public Infrastructure,Inform employees about vanpool incentives,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-04-15,20:13:00
Urban Planning and Public Infra,Bike Swap email,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-04-15,20:31:00
Humanitarian Engineering & Outreach,CJFJC Shred event,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Website Programming, Proofreading and Quality Assurance",17-04-2019,06:32:00 PM
Social Impact Eng,Volunteers needed to help demo healthier cooking options,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-04-18,07:10:00 PM
Partnerships and External Collab,Flag lowering to honor Deputy Justin DeRosier,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,Proofreading and Quality Assurance,19-04-2019,07:54:00 PM
Urban Planning and Public Infrastr,May is Bike Month: Team captains wanted,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",23-04-2019,16:46:00
Academic Affairs and Staff Devel,Leadership development training in Tacoma available next week!,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",23-04-2019,17:44:00
Academic Affairs and Staff Dev,Bring your child to work day #3,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-04-23,10:06:00 PM
Urban Planning and Public Infra,Pierce Trips newsletter: Local news and events,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, Graphic Design",2019-04-24,04:01:00 PM
Safety Engineering and Crisis Mgmt,Retirement of April Ost,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-04-24,19:01:00
Safety Engineering & Crisis Management,Retirement of Laurelee Wood,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-04-29,20:45:00
Academic Affairs & Staff Development,"LinkedIn Learning #2: On-demand, online training available to you soon!",,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, Graphic Design",29-04-2019,20:47:00
Urban Planning & Public Infrastructure,Land Use Advisory Commissions to consider proposed updates to four community plans,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-04-30,06:57:00 PM
Urban Planning and Public Infra,Several items no longer accepted in Pierce County’s recycling program,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",30-04-2019,07:54:00 PM
Urban Planning and Public Infra,Recycling changes at Pierce County offices,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Website Programming, Graphic Design",30-04-2019,08:12:00 PM
Academic Affairs and Staff Devel,WA State Department of Enterprise Services (DES) classes for May-June,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-05-02,01:36:00 AM
Academic Affairs and Staff Devel,LinkedIn Learning: #3 LIL is right around the corner,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Website Programming",02-05-2019,08:15:00 PM
Academic Affairs and Staff Devel,LinkedIn Learning intranet banner,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Website Programming",2019-05-02,20:16:00
Academic Affairs and Staff Dev,Update ODT webpage,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Website Programming, Graphic Design",03-05-2019,17:48:00
Academic Affairs and Staff Dev,Vacation carryover policy reminder,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",06-05-2019,21:47:00
Academic Affairs and Staff Devel,2019 Employee Engagement Survey,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance, Website Programming",07-05-2019,05:26:00 PM
Partnerships and External Collab,WWE Stomping Grounds discount,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, Graphic Design",2019-05-07,22:15:00
Facilities and Maintenance Engin,UPDATE: Water being tested for discoloration on CCB campus,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Writing and Editing,2019-05-07,22:43:00
Safety Eng and Crisis Management,Retirement of Rod Lasher,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-05-07,11:32:00 PM
Environmental and Civil Engin,Extra-Hire job opportunity with Parks and Recreation,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Website Programming, Proofreading and Quality Assurance",10-05-2019,20:31:00
Quality Assurance & Risk Management,Auditor seeks to appoint committee members for voters’ pamphlet,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,Proofreading and Quality Assurance,13-05-2019,04:51:00 PM
Humanitarian Eng and Outreach,Annual CJFJC BBQ,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Website Programming",2019-05-13,21:06:00
Eng Leadership and Strategy,Employee Day at Emerald Downs,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, Graphic Design",2019-05-13,21:08:00
Urban Planning and Public Infra,Bike month reminder,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Graphic Design",14-05-2019,17:56:00
Financial Analysis & Management,Retirement of Vicki Gibson,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-05-15,19:44:00
Financial Eng,Retirement of Diane Ladenburg,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-05-15,20:45:00
Academic Affairs and Staff Devel,LinkedIn Learning message #4,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, Graphic Design",15-05-2019,22:42:00
Urban Planning and Public Infrastr,Alan Kies retirement,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",15-05-2019,22:43:00
Documentation & Knowledge Management,Retirement of Patty Brown,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-05-15,11:10:00 PM
Academic Affairs and Staff Devel,2019 Employee Engagement Survey reminder,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Writing and Editing, Website Programming, Graphic Design",17-05-2019,18:57:00
Research and Technical Publ,Pierce County Law Library to open kiosk at Lakewood Library,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Writing and Editing, News and Media Communication",2019-05-17,23:35:00
Facilities & Maintenance Engineering,CCB fire alarm testing,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-05-20,21:46:00
Urban Planning and Public Infrastr,Additional Pierce County Ferry runs offered Memorial Day weekend,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,2019-05-21,16:58:00
Environmental & Civil Engineering,Mitch Nelson retirement,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",21-05-2019,05:19:00 PM
Financial Enginering,IT systems back online,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Writing and Editing,2019-05-21,20:49:00
Environmental & Civil Engineering,Ice bumper cars grand opening,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Website Programming, News and Media Communication",2019-05-22,07:17:00 PM
Youth Outreach and Train,Gerald Hammond retirement,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Proofreading and Quality Assurance",2019-05-23,18:40:00
Facilities and Maintenance Engin,Give your office a break this holiday weekend,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Graphic Design",23-05-2019,21:21:00
Urban Planning and Public Infrastr,Take the Pledge to Ride Transit in June,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",24-05-2019,20:08:00
Social Impact Eng,Passing of Dawn Brekke,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Writing and Editing, Website Programming",2019-05-28,18:40:00
Financial Eng,Changes to administrative guidelines,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",29-05-2019,18:23:00
Financial Enginering,2020-21 Biennial budget cover,,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,2019-05-31,22:11:00
Academic Affairs and Staff Devel,Human Resources move,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Graphic Design",2019-06-04,17:57:00
Urban Planning & Public Infrastructure,Gig Harbor Trolley email,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Graphic Design, Website Programming",2019-06-06,03:04:00 PM
Urban Planning & Public Infrastructure,New Cushman Trail segment to be built along 14th Avenue Northwest,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,06-06-2019,05:12:00 PM
Urban Planning and Public Infra,Planning Commission to consider proposed updates to four community plans,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication",2019-06-06,09:54:00 PM
Financial Enginering,Department of Retirement Rate increases,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",10-06-2019,17:58:00
Urban Planning and Public Infrastr,EXEC COMMENDATION: Matt Millie,,dwetherheadb@livejournal.com,Technical Writing,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance",2019-06-10,19:55:00
Urban Planning & Public Infrastructure,EXEC COMMENDATION: Paul Burg,,dwetherheadb@livejournal.com,Technical Writing,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance",10-06-2019,19:55:00
Urban Planning and Public Infrastr,EXEC COMMENDATION: Steven Wixom,,dwetherheadb@livejournal.com,Technical Writing,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance",10-06-2019,07:56:00 PM
Urban Planning and Public Infrastr,EXEC COMMENDATION: Bob Alires,,dwetherheadb@livejournal.com,Technical Writing,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance",10-06-2019,07:56:00 PM
Urban Planning and Public Infrastr,EXEC COMMENDATION: Paul Marsh,,dwetherheadb@livejournal.com,Technical Writing,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance",2019-06-10,07:57:00 PM
Urban Planning and Public Infrastr,Road project at 62nd Avenue Northwest and 144th Street Northwest intersection continues,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,11-06-2019,18:35:00
Financial Enginering,Retirement of Lynn Julin,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-06-13,17:49:00
Financal Engineering,Retirement of Carron Boucher,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",13-06-2019,17:52:00
Humanitarian Eng and Outreach,CJFJC annual barbecue,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, Graphic Design",13-06-2019,18:03:00
Urban Planning and Public Infra,9th Annual Gig Harbor Wings and Wheels returns July 6-7,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,13-06-2019,07:08:00 PM
Urban Planning and Public Infrastr,Free transportation to Taste of Tacoma,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance",13-06-2019,21:32:00
Urban Planning and Public Infrastr,Bike Month results,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-06-18,16:25:00
Financial Eng,Bill Simonds retirement,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",18-06-2019,07:21:00 PM
Financial Analysis & Management,Shellie Pollitt retirement,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-06-18,19:23:00
Financial Eng,IT offers Office 365 training courses to increase your expertise,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance, Website Programming",2019-06-24,19:01:00
Urban Planning and Public Infrastr,Ferry runs added for Independence Day and summertime travelers,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,2019-06-27,05:26:00 PM
Safety Engineering and Crisis Mgmt,Countywide burn ban in Pierce County begins July 1,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, News and Media Communication",28-06-2019,07:29:00 PM
Academic Affairs and Staff Dev,EI&R Banquet save the date,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Graphic Design, Website Programming",28-06-2019,23:16:00
Academic Affairs and Staff Dev,Update EI&R Banquet webpage,,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,"Website Programming, Graphic Design",2019-06-28,23:17:00
Quality Assurance and Risk Mgmt,Changes to Washington state’s election laws are now in effect,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance",2019-07-08,18:16:00
Quality Assurance & Risk Management,Election at a glance,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,2019-07-08,18:17:00
Academic Affairs & Staff Development,New Workday Absence worklet coming soon!,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Proofreading and Quality Assurance,2019-07-08,21:14:00
Urban Planning & Public Infrastructure,Work to repair culvert under Whiteman Road Southwest starts July 15,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,08-07-2019,22:07:00
Urban Planning & Public Infrastructure,Expect traffic delays along section of Canyon Road East through fall due to utility work,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,09-07-2019,18:15:00
Urban Planning and Public Infrastr,Pierce Trips July Newsletter,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Graphic Design,09-07-2019,20:49:00
Humanitarian Engineering & Outreach,Last call to order tickets to the annual BBQ,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Writing and Editing",11-07-2019,16:16:00
Academic Affairs & Staff Development,Survey drawing winners,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-07-11,07:35:00 PM
Environmental & Civil Engineering,Retirement of Erin Benedict,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-07-16,07:16:00 PM
Environmental and Civil Engin,Pierce County Trails Day,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-07-16,19:18:00
Urban Planning and Public Infra,Retirement of So DiaEze,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Website Programming,18-07-2019,07:20:00 PM
Urban Planning and Public Infra,Retirement of Cindy McClelland,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Website Programming, Proofreading and Quality Assurance",2019-07-18,07:21:00 PM
Urban Planning and Public Infra,Section of 72nd Street East to be reconfigured in late July,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,Proofreading and Quality Assurance,2019-07-18,22:01:00
Financial Analysis & Management,Annual property values set by County assessor-treasurer,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication",2019-07-19,20:06:00
Regulatory Eng,Weight Watchers at work,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Proofreading and Quality Assurance,2019-07-19,09:58:00 PM
Humanitarian Engineering and Outr,FJC Annual BBQ winning raffle tickets,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Website Programming, Writing and Editing, Graphic Design",2019-07-19,23:17:00
Partnerships & External Collaboration,Flag lowering in memory of Retired Associate Justice Stevens,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance",2019-07-22,16:25:00
Urban Planning and Public Infrastr,Resurfacing work on section of 72nd Street East rescheduled,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance",2019-07-24,10:17:00 PM
Partnerships and External Collab,Discount tickets to University of Washington football,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",30-07-2019,06:04:00 PM
Urban Planning & Public Infrastructure,"Planning Commission adds fall study sessions, moves final vote on four community plans to November",,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,Proofreading and Quality Assurance,2019-07-30,07:17:00 PM
Urban Planning and Public Infrastr,Ride Transit Month wrap up,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-07-30,20:32:00
Urban Planning & Public Infrastructure,High friction surface treatment coming to Pierce County roads,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",31-07-2019,16:45:00
Partnerships and External Collabor,Flag lowering in honor of victims in Texas and Ohio,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication",05-08-2019,17:21:00
Environmental and Civil Engin,Pierce County Fair debuts horse mounting ramp at special dedication,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Website Programming, Writing and Editing",07-08-2019,17:28:00
Academic Affairs & Staff Development,Reminder about vacation carry forward,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Website Programming",2019-08-07,08:43:00 PM
Environmental and Civil Engin,"Family Campout to take over Chambers Creek Regional Park, Aug. 16-17",,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Writing and Editing, Proofreading and Quality Assurance",2019-08-08,23:45:00
Environmental & Civil Engineering,Kids Kraze event,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, News and Media Communication, Writing and Editing",08-08-2019,23:49:00
Environmental and Civil Engin,Mobile Food Fest,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Writing and Editing, Website Programming",12-08-2019,23:04:00
Urban Planning and Public Infrastr,New traffic signal coming to 38th Avenue East and 152nd Street East intersection,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,14-08-2019,04:17:00 PM
Urban Planning & Public Infrastructure,Labor Day weekend schedule for Pierce County Ferry,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Website Programming, News and Media Communication",15-08-2019,06:23:00 PM
Urban Planning and Public Infrastr,Retirement of Clarence Johnson,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",15-08-2019,11:36:00 PM
Environmental and Civil Eng,Retirement of Debbie Combs,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",19-08-2019,04:44:00 PM
Financial Eng,Technology Security Awareness Training,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Website Programming",2019-08-19,17:58:00
Social Impact Eng,Power outage at Human Services Building,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Website Programming",19-08-2019,18:00:00
Urban Planning and Public Infrastr,Road project at 62nd Avenue Northwest and 144th Street Northwest intersection continues,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Website Programming",19-08-2019,19:17:00
Research and Technical Publicat,Legal Ethics workshop,,dwetherheadb@livejournal.com,Social Media Strategy,Samira Alaoui,Social Media Strategy,19-08-2019,23:40:00
Research & Technical Publications,New Changes to the Landlord Tenant Law workshop,,dwetherheadb@livejournal.com,Social Media Strategy,Samira Alaoui,Social Media Strategy,19-08-2019,11:49:00 PM
Social Impact Engineering,2019 Alzheimer's Conference,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance, Website Programming, Writing and Editing",2019-08-20,16:49:00
Urban Planning and Public Infrastr,Stormwater treatment pond to be constructed near 104th Street East and Woodland Avenue East intersection,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Website Programming, Proofreading and Quality Assurance",20-08-2019,09:45:00 PM
Urban Planning and Public Infrastr,Puyallup Fair Express,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-08-20,22:46:00
Urban Planning & Public Infrastructure,"Fox Island Bridge to be reduced to one lane Aug. 27 and 28 for inspection, repairs",,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-08-22,06:59:00 PM
Academic Affairs & Staff Development,RSVP for Employee Recognition Banquet set for Oct. 23,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Website Programming",2019-08-26,23:41:00
Academic Affairs and Staff Dev,EI&R event webpages,,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,Website Programming,26-08-2019,11:43:00 PM
Academic Affairs & Staff Development,Honoree poster,,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,2019-08-26,23:47:00
Social Impact Engin,Images of aging looks at love after losing a spouse,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance",27-08-2019,19:07:00
Legal and Compliance Engin,Superior Court Judge Susan K. Serko announces retirement,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, News and Media Communication",27-08-2019,11:23:00 PM
Urban Planning and Public Infrastr,Maintenance work on Muck Creek bridge on 8th Avenue South south of Rice Kandle Road East starts Sept. 3,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,2019-08-28,06:05:00 PM
Partnerships and External Collabor,Discount tickets to Disney On Ice: Mickey's Search Party,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Website Programming",2019-08-28,23:31:00
Administrative and Procedural Eng,District Court closure for staff training,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",05-09-2019,21:29:00
Academic Affairs & Staff Development,Benefits Fairs & Flu shots,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Website Programming,10-09-2019,06:43:00 PM
